NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Bibliothque-Discothque Municipale Batignolles,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,280.0,M,10216.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,RUE,,BATIGNOLLES,752003386.0,13.0,131.0,13116.0,650262189.0,6865159082.0
Caf-Thtre Vissi d'Arte,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,18.0,,,,RUE,,BROCHANT,753001100.0,13.0,133.0,13312.0,6500069736.0,6865655174.0
Caf-Thtre Vissi d'Arte,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,18.0,,,,RUE,,BROCHANT,753001100.0,13.0,133.0,13312.0,6500069736.0,6865655174.0
Centre d'Animation Baudricourt,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,6.0,,,,RUE,,SIMONE WEIL,752002154.0,10.0,106.0,10614.0,6533132484.0,6858366054.0
Centre d'Animation Garef Arospatial,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,2.0,,,,RUE,,EMILE LEVASSOR,752002152.0,10.0,106.0,10614.0,6536504215.0,6858049287.0
Centre d'Animation Inter Club 17,75.0,Paris 17e Arrondissement,75117.0,75017.0,,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,47.0,,,,RUE,,SAUSSURE,752002165.0,10.0,106.0,10614.0,6497627188.0,6865243913.0
Centre d'Animation La Jonquire,75.0,Paris 17e Arrondissement,75117.0,75017.0,,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,88.0,,,,RUE,,LA JONQUIERE,752002164.0,10.0,106.0,10614.0,6500755561.0,6866297444.0
Centre d'Animation Poterne des Peupliers,75.0,Paris 13e Arrondissement,75113.0,75013.0,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,1.0,,,,RUE,,GOUTHIERE,752002153.0,10.0,106.0,10614.0,6523631355.0,6858044738.0
Chant Libre,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,33.0,,,,RUE,,LA CONDAMINE,753000248.0,13.0,132.0,13211.0,6503394935.0,6865397273.0
Club Musical de la Poste et France Tlcom-Paris,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,40.0,,,,RUE,DES,PEUPLIERS,753002111.0,13.0,132.0,13211.0,6524610451.0,6858183337.0
Conservatoire International de Musique de Paris,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,8.0,,,,RUE,DE LA,TERRASSE,753001210.0,13.0,132.0,13211.0,6496160798.0,6864837469.0
Conservatoire Municipal Claude Debussy Site Jonquire,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,10.0,,,,88.0,,,,RUE,,LA JONQUIERE,752004300.0,13.0,132.0,13217.0,6500755561.0,6866297444.0
Dancenter - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,6.0,,,,IMP,DE,LEVIS,753000952.0,13.0,132.0,13211.0,6498056522.0,686494247.0
